balanced_accuracy,pr_auc,brier_score,expected_cost,threshold,tn,fp,fn,tp,model,outer_split,parameters
0.5,0.3,0.3,1.5,0.01,112,0,48,0,majority,1,{}
0.5,0.3,0.7,0.7,0.01,0,112,0,48,reject_all,1,{}
0.6354166666666667,0.5608925788304919,0.18108181840233062,0.69375,0.19,56,56,11,37,logistic,1,"{""model__class_weight"": ""None"", ""model__C"": ""0.1""}"
0.7038690476190476,0.5895422379169661,0.17229037365190075,0.48125,0.18000000000000002,55,57,4,44,svm,1,"{""estimator__model__gamma"": ""0.1"", ""estimator__model__class_weight"": ""None"", ""estimator__model__C"": ""21.54434690031882""}"
0.5788690476190476,0.528900431042951,0.18954765493014758,0.60625,0.15000000000000002,20,92,1,47,mlp,1,"{""model__learning_rate_init"": ""0.01"", ""model__hidden_layer_sizes"": ""(16,)"", ""model__alpha"": ""0.01""}"
0.5729166666666667,0.5724497820789932,0.24609859178601762,0.68125,0.4,28,84,5,43,fuzzy,1,{}
0.5,0.3,0.3,1.5,0.01,112,0,48,0,majority,2,{}
0.5,0.3,0.7,0.7,0.01,0,112,0,48,reject_all,2,{}
0.6547619047619048,0.7227180317160702,0.14785655117019667,0.55,0.16,44,68,4,44,logistic,2,"{""model__class_weight"": ""None"", ""model__C"": ""0.1""}"
0.6443452380952381,0.7163589983720562,0.15356909524542256,0.58125,0.18000000000000002,44,68,5,43,svm,2,"{""estimator__model__gamma"": ""0.05"", ""estimator__model__class_weight"": ""balanced"", ""estimator__model__C"": ""1.0""}"
0.6130952380952381,0.7190412672097264,0.1479928796959245,0.575,0.13,30,82,2,46,mlp,2,"{""model__learning_rate_init"": ""0.01"", ""model__hidden_layer_sizes"": ""(16,)"", ""model__alpha"": ""0.001""}"
0.6086309523809524,0.5769890270182947,0.24196547194959042,0.58125,0.4,29,83,2,46,fuzzy,2,{}
0.5,0.3,0.3,1.5,0.01,112,0,48,0,majority,3,{}
0.5,0.3,0.7,0.7,0.01,0,112,0,48,reject_all,3,{}
0.7038690476190477,0.6042771805713495,0.18334421250222283,0.58125,0.37,69,43,10,38,logistic,3,"{""model__class_weight"": ""balanced"", ""model__C"": ""0.31622776601683794""}"
0.6949404761904762,0.630583581050878,0.16480700038244542,0.59375,0.23,67,45,10,38,svm,3,"{""estimator__model__gamma"": ""0.001"", ""estimator__model__class_weight"": ""balanced"", ""estimator__model__C"": ""21.54434690031882""}"
0.6398809523809524,0.5888526830783685,0.17500655938812676,0.5875,0.22,43,69,5,43,mlp,3,"{""model__learning_rate_init"": ""0.01"", ""model__hidden_layer_sizes"": ""(32, 16)"", ""model__alpha"": ""0.0001""}"
0.6369047619047619,0.5593111805199025,0.2369578625501318,0.525,0.4,33,79,1,47,fuzzy,3,{}
0.5,0.3,0.3,1.5,0.01,112,0,48,0,majority,4,{}
0.5,0.3,0.7,0.7,0.01,0,112,0,48,reject_all,4,{}
0.6443452380952381,0.5377976237487461,0.21201764081209795,0.63125,0.29000000000000004,51,61,8,40,logistic,4,"{""model__class_weight"": ""balanced"", ""model__C"": ""1.0""}"
0.6428571428571428,0.5488564949441039,0.1846738331515283,0.7,0.22,60,52,12,36,svm,4,"{""estimator__model__gamma"": ""0.1"", ""estimator__model__class_weight"": ""None"", ""estimator__model__C"": ""21.54434690031882""}"
0.5595238095238095,0.4671031014225461,0.19968798149337225,0.7,0.2,25,87,5,43,mlp,4,"{""model__learning_rate_init"": ""0.01"", ""model__hidden_layer_sizes"": ""(16,)"", ""model__alpha"": ""0.0001""}"
0.5595238095238095,0.39955772531219136,0.27844665763567467,0.7,0.4,25,87,5,43,fuzzy,4,{}
0.5,0.3,0.3,1.5,0.01,112,0,48,0,majority,5,{}
0.5,0.3,0.7,0.7,0.01,0,112,0,48,reject_all,5,{}
0.6592261904761905,0.6165742628914926,0.1814956472621733,0.49375,0.24000000000000002,38,74,1,47,logistic,5,"{""model__class_weight"": ""balanced"", ""model__C"": ""0.1""}"
0.6354166666666667,0.607951710957472,0.16673160694665623,0.54375,0.14,35,77,2,46,svm,5,"{""estimator__model__gamma"": ""scale"", ""estimator__model__class_weight"": ""None"", ""estimator__model__C"": ""0.1""}"
0.5520833333333333,0.37205837445827256,0.21248095814979856,0.64375,0.13,14,98,1,47,mlp,5,"{""model__learning_rate_init"": ""0.01"", ""model__hidden_layer_sizes"": ""(32,)"", ""model__alpha"": ""0.001""}"
0.6220238095238095,0.44538223544496636,0.24549381995473069,0.5625,0.4,32,80,2,46,fuzzy,5,{}
0.5,0.3,0.3,1.5,0.01,112,0,48,0,majority,6,{}
0.5,0.3,0.7,0.7,0.01,0,112,0,48,reject_all,6,{}
0.7053571428571428,0.6869628349246811,0.15817789861124304,0.4625,0.22,53,59,3,45,logistic,6,"{""model__class_weight"": ""None"", ""model__C"": ""0.03162277660168379""}"
0.6517857142857143,0.6875305591683689,0.1544917984492696,0.4875,0.14,34,78,0,48,svm,6,"{""estimator__model__gamma"": ""0.01"", ""estimator__model__class_weight"": ""balanced"", ""estimator__model__C"": ""10.0""}"
0.6919642857142857,0.6607158044570587,0.1683058411577724,0.53125,0.18000000000000002,57,55,6,42,mlp,6,"{""model__learning_rate_init"": ""0.01"", ""model__hidden_layer_sizes"": ""(32, 16)"", ""model__alpha"": ""0.0001""}"
0.6101190476190476,0.5406445331034306,0.24983038411710887,0.6125,0.4,34,78,4,44,fuzzy,6,{}
0.5,0.3,0.3,1.5,0.01,112,0,48,0,majority,7,{}
0.5,0.3,0.7,0.7,0.01,0,112,0,48,reject_all,7,{}
0.6220238095238095,0.45834453538946984,0.19615141329963923,0.7625,0.29000000000000004,60,52,14,34,logistic,7,"{""model__class_weight"": ""None"", ""model__C"": ""0.01""}"
0.6086309523809524,0.4940107228627164,0.19314813400913058,0.63125,0.16,36,76,5,43,svm,7,"{""estimator__model__gamma"": ""scale"", ""estimator__model__class_weight"": ""None"", ""estimator__model__C"": ""2.1544346900318834""}"
0.6101190476190476,0.45517966030761103,0.2001051185221705,0.6125,0.18000000000000002,34,78,4,44,mlp,7,"{""model__learning_rate_init"": ""0.01"", ""model__hidden_layer_sizes"": ""(32,)"", ""model__alpha"": ""0.001""}"
